,level,VaR_Historical,VaR_Parametric,Expected_Shortfall,Max_Drawdown
0,95%,-0.0098262333219611,-0.011491562491949452,-0.017327237957312384,0.2587260754876328
1,99%,-0.01977324392084828,-0.01638566607103243,-0.03356980723751982,0.2587260754876328
