Date,S&P500,EUROSTOXX,EUR_BOND,EURUSD,GOLD
2018-01-03,1.2063454389572144,1316.199951171875,2713.06005859375,3509.8798828125,2.447000026702881
2018-01-04,1.2010425329208374,1319.4000244140625,2723.989990234375,3568.8798828125,2.453000068664551
2018-01-05,1.2068840265274048,1320.300048828125,2743.14990234375,3607.6298828125,2.4760000705718994
2018-01-08,1.2037460803985596,1318.5999755859375,2747.7099609375,3616.449951171875,2.4800000190734863
2018-01-09,1.1970456838607788,1311.699951171875,2751.2900390625,3622.8701171875,2.5460000038146973
2018-01-10,1.1929330825805664,1317.4000244140625,2748.22998046875,3609.830078125,2.549999952316284
2018-01-11,1.1956144571304321,1320.5999755859375,2767.56005859375,3595.239990234375,2.5309998989105225
2018-01-12,1.2042099237442017,1333.4000244140625,2786.239990234375,3612.610107421875,2.552000045776367
2018-01-15,1.2192296981811523,1333.4000244140625,2786.239990234375,3611.81005859375,2.552000045776367
2018-01-16,1.2268433570861816,1335.4000244140625,2776.419921875,3622.010009765625,2.5439999103546143
2018-01-17,1.227129340171814,1338.0,2802.56005859375,3612.780029296875,2.578000068664551
2018-01-18,1.218397855758667,1326.0,2798.030029296875,3620.909912109375,2.6110000610351562
2018-01-19,1.2236607074737549,1331.9000244140625,2810.300048828125,3649.070068359375,2.63700008392334
2018-01-22,1.2255502939224243,1330.9000244140625,2832.969970703125,3665.280029296875,2.6649999618530273
2018-01-23,1.2256253957748413,1335.699951171875,2839.1298828125,3672.2900390625,2.624000072479248
2018-01-24,1.2310267686843872,1355.9000244140625,2837.5400390625,3643.219970703125,2.6540000438690186
2018-01-25,1.239111304283142,1362.4000244140625,2839.25,3630.14990234375,2.621000051498413
2018-01-26,1.239234209060669,1351.5999755859375,2872.8701171875,3647.409912109375,2.6619999408721924
2018-01-29,1.2428072690963745,1351.5999755859375,2853.530029296875,3643.0400390625,2.6989998817443848
2018-01-30,1.2381141185760498,1335.4000244140625,2822.429931640625,3606.75,2.7260000705718994
2018-01-31,1.2409565448760986,1339.0,2823.81005859375,3609.2900390625,2.7200000286102295
2018-02-01,1.241865873336792,1344.300048828125,2821.97998046875,3577.35009765625,2.7730000019073486
2018-02-02,1.2510008811950684,1333.699951171875,2762.1298828125,3523.280029296875,2.8540000915527344
2018-02-05,1.244694471359253,1333.0,2648.93994140625,3478.77001953125,2.7939999103546143
2018-02-06,1.2367818355560303,1326.0999755859375,2695.139892578125,3394.919921875,2.7679998874664307
2018-02-07,1.2381294965744019,1311.5999755859375,2681.659912109375,3454.52001953125,2.8440001010894775
2018-02-08,1.2268133163452148,1316.9000244140625,2581.0,3377.300048828125,2.8510000705718994
2018-02-09,1.2260762453079224,1313.0999755859375,2619.550048828125,3325.989990234375,2.8289999961853027
2018-02-12,1.2252799272537231,1324.199951171875,2656.0,3368.25,2.8570001125335693
2018-02-13,1.2303755283355713,1328.0999755859375,2662.93994140625,3340.929931640625,2.8399999141693115
2018-02-14,1.235376238822937,1355.5,2698.6298828125,3369.830078125,2.9130001068115234
2018-02-15,1.2467273473739624,1352.0999755859375,2731.199951171875,3389.6298828125,2.8910000324249268
2018-02-16,1.2503595352172852,1353.199951171875,2732.219970703125,3426.800048828125,2.877000093460083
2018-02-19,1.241187572479248,1353.199951171875,2732.219970703125,3407.7900390625,2.877000093460083
2018-02-20,1.2398641109466553,1328.800048828125,2716.260009765625,3435.080078125,2.8929998874664307
2018-02-21,1.233532428741455,1330.0,2701.330078125,3430.159912109375,2.943000078201294
2018-02-22,1.2281843423843384,1330.5999755859375,2703.9599609375,3431.989990234375,2.9170000553131104
2018-02-23,1.2326656579971313,1328.199951171875,2747.300048828125,3441.4599609375,2.871000051498413
2018-02-26,1.228712558746338,1330.699951171875,2779.60009765625,3463.179931640625,2.8589999675750732
2018-02-27,1.2315573692321777,1315.5,2744.280029296875,3458.030029296875,2.9079999923706055
2018-02-28,1.2230321168899536,1315.5,2713.830078125,3438.9599609375,2.868000030517578
2018-03-01,1.2191256284713745,1302.9000244140625,2677.669921875,3399.159912109375,2.803999900817871
2018-03-02,1.2270842790603638,1321.0999755859375,2691.25,3324.75,2.8570001125335693
2018-03-05,1.2315422296524048,1318.0999755859375,2720.93994140625,3355.320068359375,2.88100004196167
2018-03-06,1.2336541414260864,1333.5999755859375,2728.1201171875,3357.860107421875,2.877000093460083
2018-03-07,1.2416653633117676,1326.0,2726.800048828125,3377.360107421875,2.882999897003174
2018-03-08,1.2414649724960327,1319.9000244140625,2738.969970703125,3413.280029296875,2.865999937057495
2018-03-09,1.2306632995605469,1322.4000244140625,2786.570068359375,3420.5400390625,2.8940000534057617
2018-03-12,1.2308752536773682,1319.4000244140625,2783.02001953125,3429.47998046875,2.869999885559082
2018-03-13,1.2339584827423096,1325.9000244140625,2765.31005859375,3397.35009765625,2.8480000495910645
2018-03-14,1.239234209060669,1324.4000244140625,2749.47998046875,3390.97998046875,2.816999912261963
2018-03-15,1.2375624179840088,1316.800048828125,2747.330078125,3414.1298828125,2.8259999752044678
2018-03-16,1.2309207916259766,1311.300048828125,2752.010009765625,3437.39990234375,2.8480000495910645
2018-03-19,1.228078842163086,1316.800048828125,2712.919921875,3394.7900390625,2.8450000286102295
2018-03-20,1.2336845397949219,1311.0999755859375,2716.93994140625,3412.080078125,2.878999948501587
2018-03-21,1.2251899242401123,1320.699951171875,2711.929931640625,3401.0400390625,2.9070000648498535
2018-03-22,1.2347661256790161,1326.5999755859375,2643.68994140625,3348.18994140625,2.8320000171661377
2018-03-23,1.2324985265731812,1349.300048828125,2588.260009765625,3298.070068359375,2.8299999237060547
2018-03-26,1.235437273979187,1354.4000244140625,2658.550048828125,3278.719970703125,2.8429999351501465
2018-03-27,1.2457488775253296,1341.300048828125,2612.6201171875,3316.949951171875,2.7860000133514404
2018-03-28,1.240787148475647,1324.199951171875,2605.0,3331.25,2.7750000953674316
2018-03-29,1.2310267686843872,1322.800048828125,2640.8701171875,3361.5,2.740999937057495
2018-03-30,1.2302846908569336,1322.800048828125,2640.8701171875,3361.5,2.740999937057495
2018-04-02,1.231420874595642,1342.0999755859375,2581.8798828125,3361.5,2.7320001125335693
2018-04-03,1.229271411895752,1332.800048828125,2614.449951171875,3346.929931640625,2.7839999198913574
2018-04-04,1.2278525829315186,1335.800048828125,2644.68994140625,3340.35009765625,2.7880001068115234
2018-04-05,1.228682279586792,1324.300048828125,2662.840087890625,3429.949951171875,2.8320000171661377
2018-04-06,1.2251598834991455,1331.9000244140625,2604.469970703125,3408.10009765625,2.7750000953674316
2018-04-09,1.227144479751587,1336.300048828125,2613.159912109375,3414.85009765625,2.7860000133514404
2018-04-10,1.2322403192520142,1342.0,2656.8701171875,3438.780029296875,2.796999931335449
2018-04-11,1.2363078594207764,1356.5,2642.18994140625,3419.7099609375,2.7899999618530273
2018-04-12,1.2371643781661987,1338.4000244140625,2663.989990234375,3443.969970703125,2.8340001106262207
2018-04-13,1.2329696416854858,1344.800048828125,2656.300048828125,3448.0,2.8289999961853027
2018-04-16,1.233258605003357,1347.5,2677.840087890625,3441.0400390625,2.8320000171661377
2018-04-17,1.2385127544403076,1347.199951171875,2706.389892578125,3477.909912109375,2.813999891281128
2018-04-18,1.237317442893982,1351.199951171875,2708.639892578125,3490.889892578125,2.867000102996826
2018-04-19,1.237914800643921,1346.800048828125,2693.1298828125,3486.60009765625,2.9140000343322754
2018-04-20,1.2345526218414307,1336.699951171875,2670.139892578125,3494.199951171875,2.9509999752044678
2018-04-23,1.2273402214050293,1322.5,2670.2900390625,3513.06005859375,2.9730000495910645
2018-04-24,1.22089684009552,1331.4000244140625,2634.56005859375,3510.8798828125,2.9830000400543213
2018-04-25,1.2241400480270386,1321.199951171875,2639.39990234375,3485.830078125,3.0239999294281006
2018-04-26,1.2171669006347656,1316.300048828125,2666.93994140625,3506.030029296875,2.990000009536743
2018-04-27,1.2109616994857788,1320.300048828125,2669.909912109375,3518.780029296875,2.9570000171661377
2018-04-30,1.2122827768325806,1316.199951171875,2648.050048828125,3536.52001953125,2.936000108718872
2018-05-01,1.2081234455108643,1303.800048828125,2654.800048828125,3536.52001953125,2.9760000705718994
2018-05-02,1.1991558074951172,1302.5999755859375,2635.669921875,3553.7900390625,2.9639999866485596
2018-05-03,1.19510018825531,1310.699951171875,2629.72998046875,3529.1201171875,2.946000099182129
2018-05-04,1.1989257335662842,1312.699951171875,2663.419921875,3550.590087890625,2.944000005722046
2018-05-07,1.195500135421753,1312.199951171875,2672.6298828125,3564.18994140625,2.950000047683716
2018-05-08,1.1933743953704834,1312.0,2671.919921875,3557.8798828125,2.9690001010894775
2018-05-09,1.1867886781692505,1311.300048828125,2697.7900390625,3569.739990234375,3.003999948501587
2018-05-10,1.184721827507019,1320.800048828125,2723.070068359375,3569.739990234375,2.9709999561309814
2018-05-11,1.1917530298233032,1319.0,2727.719970703125,3565.52001953125,2.9709999561309814
2018-05-14,1.1952143907546997,1316.5,2730.1298828125,3565.739990234375,2.994999885559082
2018-05-15,1.1931180953979492,1288.9000244140625,2711.449951171875,3564.2900390625,3.0799999237060547
2018-05-16,1.1820889711380005,1290.199951171875,2722.4599609375,3562.85009765625,3.0950000286102295
2018-05-17,1.1816978454589844,1288.199951171875,2720.1298828125,3592.179931640625,3.1089999675750732
2018-05-18,1.1795234680175781,1290.199951171875,2712.969970703125,3573.760009765625,3.066999912261963
2018-05-21,1.1766643524169922,1290.199951171875,2733.010009765625,3573.760009765625,3.065000057220459
2018-05-22,1.1792453527450562,1291.699951171875,2724.43994140625,3587.25,3.065000057220459
2018-05-23,1.1788560152053833,1289.300048828125,2733.2900390625,3541.820068359375,3.003000020980835
2018-05-24,1.1710150241851807,1303.699951171875,2727.760009765625,3521.760009765625,2.9809999465942383
2018-05-25,1.1722642183303833,1303.300048828125,2721.330078125,3515.360107421875,2.930999994277954
2018-05-28,1.1688934564590454,1303.300048828125,2721.330078125,3482.639892578125,2.930999994277954
2018-05-29,1.162696123123169,1298.699951171875,2689.860107421875,3428.139892578125,2.7679998874664307
2018-05-30,1.1539349555969238,1301.5,2724.010009765625,3441.18994140625,2.8420000076293945
2018-05-31,1.1667250394821167,1300.0999755859375,2705.27001953125,3406.64990234375,2.822000026702881
2018-06-01,1.1693171262741089,1294.800048828125,2734.6201171875,3453.5400390625,2.8949999809265137
2018-06-04,1.1668611764907837,1293.0999755859375,2746.8701171875,3469.570068359375,2.937000036239624
2018-06-05,1.1700559854507446,1297.5,2748.800048828125,3456.7900390625,2.9189999103546143
2018-06-06,1.1726216077804565,1297.0999755859375,2772.35009765625,3460.820068359375,2.9749999046325684
2018-06-07,1.178550362586975,1298.699951171875,2770.3701171875,3459.77001953125,2.933000087738037
2018-06-08,1.1795234680175781,1298.0999755859375,2779.030029296875,3447.300048828125,2.937000036239624
2018-06-11,1.1783976554870605,1298.9000244140625,2782.0,3480.219970703125,2.9570000171661377
2018-06-12,1.177412509918213,1295.0999755859375,2786.85009765625,3475.580078125,2.9570000171661377
2018-06-13,1.17482590675354,1296.9000244140625,2775.6298828125,3479.56005859375,2.9769999980926514
2018-06-14,1.1807769536972046,1304.0,2782.489990234375,3527.110107421875,2.946000099182129
2018-06-15,1.1566576957702637,1274.5999755859375,2779.659912109375,3505.02001953125,2.9240000247955322
2018-06-18,1.159595012664795,1276.199951171875,2773.75,3466.64990234375,2.9260001182556152
2018-06-19,1.1630746126174927,1275.5999755859375,2762.590087890625,3435.300048828125,2.8929998874664307
2018-06-20,1.1588560342788696,1271.199951171875,2767.320068359375,3439.60009765625,2.927999973297119
2018-06-21,1.1579033136367798,1267.199951171875,2749.760009765625,3403.510009765625,2.8970000743865967
