Date,Portfolio
2018-01-04,0.004234530358744481
2018-01-05,0.007400022151267577
2018-01-08,0.0006552866171256169
2018-01-09,0.00685361012452861
2018-01-10,-0.000727483117750966
2018-01-11,-0.0009602125219322909
2018-01-12,0.00718550685673097
2018-01-15,0.0024348185721292355
2018-01-16,0.0003108665041352868
2018-01-17,0.0055879089689168816
2018-01-18,0.0016127630531689618
2018-01-19,0.006703117772521412
2018-01-22,0.005895474439415441
2018-01-23,-0.0034624393345494427
2018-01-24,0.004089347855634608
2018-01-25,-0.0025644966720611835
2018-01-26,0.007183481237068506
2018-01-29,0.0031261980922877874
2018-01-30,-0.003170287884192786
2018-01-31,0.00030537780391540984
2018-02-01,0.004423490992547173
2018-02-02,0.001978352617130552
2018-02-05,-0.01834868742548431
2018-02-06,-0.006020830048401713
2018-02-07,0.009722165400479965
2018-02-08,-0.012868787892443693
2018-02-09,-0.002829851132299963
2018-02-12,0.008955418668736961
2018-02-13,-0.001773257434996912
2018-02-14,0.014852495744521773
2018-02-15,0.0028748814903861914
2018-02-16,0.0014627530686944648
2018-02-19,-0.00258507872748251
2018-02-20,5.4353738438647726e-05
2018-02-21,0.0028179433154414835
2018-02-22,-0.0031847453072277746
2018-02-23,-0.0004893430073248337
2018-02-26,0.0018850461072466849
2018-02-27,0.0015564981240326402
2018-02-28,-0.008882025862734542
2018-03-01,-0.013383615517859437
2018-03-02,0.004891162100498623
2018-03-05,0.007032386556183417
2018-03-06,0.001773368120159015
2018-03-07,0.0024093420355031656
2018-03-08,0.000738905606747419
2018-03-09,0.005229022371507565
2018-03-12,-0.002423892777612191
2018-03-13,-0.004476061140477749
2018-03-14,-0.004066844724320427
2018-03-15,0.0013157515086241523
2018-03-16,0.0025305708799544984
2018-03-19,-0.005715813649500372
2018-03-20,0.005353184860167908
2018-03-21,0.001233956639482552
2018-03-22,-0.014067913595337222
2018-03-23,-0.006137351620263323
2018-03-26,0.00641063865698065
2018-03-27,-0.006552368175116361
2018-03-28,-0.0029918884440255024
2018-03-29,-0.0008405512105470883
2018-03-30,-0.00012059877218090876
2018-04-02,-0.003871683149084807
2018-04-03,0.0062500900780662625
2018-04-04,0.0023310556105296453
2018-04-05,0.010629954997623446
2018-04-06,-0.011812610685420997
2018-04-09,0.002902275739917889
2018-04-10,0.007150946827768219
2018-04-11,-0.0012383040103723768
2018-04-12,0.006546700839318612
2018-04-13,-0.0010762579476633917
2018-04-16,0.0017765522868060568
2018-04-17,0.003167682286156816
2018-04-18,0.006612384996835816
2018-04-19,0.0032540837037108037
2018-04-20,0.0012093484426587086
2018-04-23,0.001076247806829045
2018-04-24,-0.002192972174793257
2018-04-25,0.002791765408854607
2018-04-26,-0.0016745415785877416
2018-04-27,-0.0030996435005834766
2018-04-30,-0.0028695564083059937
2018-05-01,0.002934815733114239
2018-05-02,-0.0032664115228258667
2018-05-03,-0.00372951556303267
2018-05-04,0.0043469198064580074
2018-05-07,0.0014554302107199512
2018-05-08,0.0011473038080042012
2018-05-09,0.0049484277443296336
